contrast,energy,homogeneity,correlation,label
457.59541092519686,0.012461077311529964,0.12603184996038705,0.9315586181079003,Setengah Matang
320.1515132874015,0.021181436236867465,0.21353011593047544,0.9403681638586255,Matang
353.68885334645677,0.018905461811797874,0.24327077223720955,0.9601996990086215,Setengah Matang
313.07947834645665,0.022940549552443075,0.21434335912241545,0.9432344816134389,Matang
508.22840797244106,0.01870994169914903,0.16002313458710374,0.9155184832202864,Setengah Matang
622.3402436023623,0.01604959895160555,0.1489470063049368,0.9144748982764466,Setengah Matang
461.30862450787396,0.016995388464334835,0.17021468187139444,0.9041062952368936,Matang
502.59996309055134,0.011970860248916282,0.10364327748866956,0.903642722186642,Setengah Matang
469.58772145669286,0.0371618512624502,0.2894703973094092,0.9458917906076149,Matang
262.34110482283467,0.0189283167002593,0.22989259502006126,0.9469734965753511,Matang
320.66787647637796,0.018633840016389368,0.21515952833769117,0.9578414965291726,Setengah Matang
478.5477362204724,0.0261038508804891,0.27128802003580327,0.9254379978251933,Mentah
542.9348548228346,0.014335083280169025,0.16513348215349782,0.9205649735106839,Matang
405.23548228346453,0.01379578942795883,0.15574452575498987,0.9291725665114307,Setengah Matang
435.3606053149607,0.036893092258310375,0.2219228121914311,0.9164754400545323,Matang
652.6808562992128,0.011204735092563357,0.089295481909684,0.8820935593235886,Setengah Matang
499.51796259842524,0.0200203755674399,0.22303618833638358,0.9296485361687625,Setengah Matang
401.90274360236225,0.021512972678992572,0.21172118348669106,0.9312097072111134,Matang
770.5331569881889,0.014188684294624502,0.13275171851757123,0.8244925257357194,Mentah
608.4373769685042,0.025674848618810364,0.21824215858964238,0.9003158877867944,Matang
541.611343503937,0.022269168098263726,0.24651187296937355,0.8908168162453617,Setengah Matang
391.5724655511812,0.030366138528088855,0.2982382112317647,0.9237905338045811,Matang
449.3498400590552,0.03727202064600137,0.2921185712400636,0.9485759697702977,Matang
330.57695620078755,0.01800899133113027,0.20702099814937525,0.9562622736863157,Mentah
713.5676673228345,0.01363007692737922,0.12908544962348933,0.9000730473719835,Matang
488.9908956692914,0.012778036610639584,0.12424734092341329,0.9128352137129249,Matang
404.81526820866145,0.017622302430899486,0.1992542828647984,0.9422274377334096,Mentah
723.8154527559057,0.011220934474057172,0.10452687559305389,0.8654477926725879,Mentah
353.7621801181102,0.017277275801407272,0.20482843620881536,0.9368062151007837,Matang
687.6173105314962,0.011602855071705054,0.09553492463417003,0.8709858701888535,Matang
620.0797859251969,0.012490954032952572,0.11664599063331466,0.8714025400922771,Setengah Matang
618.8073941929136,0.01136269302980392,0.09200170492706002,0.8857449307664057,Setengah Matang
297.0263902559056,0.029375138459059653,0.2955689788875927,0.9493937300316727,Matang
351.91092519685037,0.03578614865168237,0.35153336501435584,0.9442362941876477,Matang
419.05585629921256,0.028044131537084252,0.320128517486085,0.9249355463026346,Matang
588.4119094488188,0.014050121436839959,0.13263150234752488,0.8838486390296031,Setengah Matang
383.9868971456693,0.017152527702425546,0.18082357593718063,0.9344885045694175,Setengah Matang
483.0943651574804,0.017944418906257347,0.21808505301181608,0.912827302237993,Mentah
476.72465551181097,0.013688325236761821,0.14959138073311598,0.9314825400785086,Matang
380.4384227362205,0.02075648359368564,0.23526072086028468,0.9412041841168133,Setengah Matang
368.44617372047253,0.024016641442878496,0.22700857731528412,0.9272102983944237,Setengah Matang
575.8134227362203,0.01680720114345397,0.1975929439872789,0.9362672378684949,Matang
223.77466781496065,0.02236497215262888,0.2547155916896984,0.9643574737761892,Mentah
325.27934301181114,0.02051529445556079,0.22477164688091317,0.9607458831730064,Mentah
692.2033095472443,0.011593148264094062,0.09172411935786058,0.9054293633114634,Mentah
636.6581569881889,0.013563559840173498,0.15806713750434884,0.8969737925797472,Matang
256.5630536417323,0.02417744985923494,0.2708092663730833,0.9642932435294231,Setengah Matang
365.36152805118115,0.030287901846912664,0.22952040145995617,0.9306917525121363,Setengah Matang
344.76562500000006,0.03520888648252295,0.3321615145093003,0.9389782183185953,Matang
457.2683316929135,0.02171022264682162,0.21027809785575557,0.9377646466409969,Setengah Matang
399.2837721456694,0.01785976024170791,0.20085539095080565,0.9415779394216225,Matang
304.7621801181102,0.017458500926999444,0.21581405911846932,0.9577228604250603,Matang
269.9570620078741,0.03234037976105706,0.3105626243307533,0.9623346513703391,Matang
